source_dish_id,name,recipe_status,step_only_consumed_terms,identity_conflict_terms,internal_consistency,global_status,review_priority,review_reasons,T1_image_to_dish,T3a_image_name_to_nutrient,T4_recipe_to_nutrient,T5_portion_reasoning,T8_counterfactual
10034,扬州蛋炒饭,HOLD,料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10035,扬州炒饭,HOLD,虾仁,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10036,燕麦南瓜粥,PASS,,,PASS,PASS_WARN,LOW,,Q,Q*,Q*,H,Q*
10037,双茄烧,HOLD,蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10038,盐水鸭肫,HOLD,姜;花椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10039,盐水鸭,HOLD,花椒;姜;蒜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10040,盐水对虾,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10041,盐水牛肉,HOLD,花椒;姜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10042,盐水鸡,HOLD,料酒;花椒;香菜;姜;葱;辣椒;芝麻;胡椒粉;鸡精,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10043,盐水花生,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10044,盐水大虾,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10045,盐水蛏子,HOLD,葱;姜;胡椒粉,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10046,盐烤虾,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10047,盐焗虾,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10048,盐局鸡,HOLD,姜;油;肉;姜油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10049,盐煎尖椒五花肉,HOLD,油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10050,盐菜蒸腊肉,HOLD,蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10051,盐爆肉丝,HOLD,料酒;葱;姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10052,猪肉烧土豆,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10053,腌渍花生,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10054,腌梭子蟹,HOLD,姜;八角;花椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10055,腌嫩姜,PASS_WARN,,,PASS,PASS_WARN,HIGH,macro_energy_sanity_gt_10pct,Q,Q*,Q*,H,Q*
10056,芽心爆腰片,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10057,芽姜炒牛肉,HOLD,鸡蛋;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10058,牙签肉,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10059,鸭血烧豆腐,HOLD,葱;姜;蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10060,鸭血粉丝汤,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10061,鸭血炖豆腐,HOLD,葱;姜;花椒;胡椒粉;生抽;香醋,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10062,鸭血炒韭菜,HOLD,辣椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10063,鸭血炒茭白,HOLD,青椒;姜;蒜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10064,鸭血炒豆腐,HOLD,葱;姜;蒜;豆瓣酱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10065,鸭肉烧木耳,HOLD,料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10066,鸭肉烧萝卜,HOLD,姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10067,鸭肉炒洋葱,HOLD,姜;蒜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10068,鸭肉炒山药,HOLD,姜;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10069,鸭肉炒口蘑,HOLD,姜;蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10070,鸭肉炒茭白,HOLD,蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10071,鸭肝炒辣椒,HOLD,葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10072,熏蒸青鱼,HOLD,黄酒;八角;葱;姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10073,熏肉炒饭,HOLD,蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10074,熏青鱼,HOLD,黄酒;八角;葱;姜;绵白糖,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10075,血糯米羊肉汤,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10076,鳕鱼南瓜泥,PASS,,,PASS,PASS_WARN,LOW,,Q,Q*,Q*,H,Q*
10077,鳕鱼炖秋葵,HOLD,料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10078,雪里蕻炖豆腐,HOLD,油;葱;姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10079,雪里红烧鱼,HOLD,雪里红;料酒;姜;大蒜;辣椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10080,雪里红炖豆腐,HOLD,雪里红;姜;十三香,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10081,雪里红炒猪血,HOLD,雪里红;豆腐;蒜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10082,雪里红炒鱿鱼,HOLD,料酒;姜;葱;雪里红,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10083,雪梨黄瓜汁,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10084,雪梨百合粥,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10085,雪花豆腐,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10086,雪湖玉藕,HOLD,白糖;白醋,,FAIL,HOLD,HIGH,step_only_consumed_ingredient;internal_payload_inconsistency,Q,Q*,H,H,H
10087,雪菜烧黄鱼,HOLD,肉;葱;姜;蒜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10088,雪菜毛豆炒肉丝,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10089,雪菜毛豆炒百叶,HOLD,葱;胡椒粉;芝麻油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10090,雪菜豆皮,HOLD,雪里红;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10091,雪菜大汤黄鱼,HOLD,姜;黄酒;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10092,杏鲍菇蒸肉丸,HOLD,姜;香菜;鸡蛋;生抽;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10093,杏鲍菇烧鱼,HOLD,姜;葱;蒜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10094,杏鲍菇烧肉片,HOLD,料酒;酱油;葱;姜;鸡精,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10095,杏鲍菇烧排骨,HOLD,姜;蒜;花椒;白糖;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10096,杏鲍菇烧鸡翅,HOLD,蒜;姜;辣椒;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10097,杏鲍菇烧火腿,HOLD,蚝油;味精;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10098,杏鲍菇烧豆腐,HOLD,生抽;老抽;白糖;淀粉;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10099,杏鲍菇焖豆腐,HOLD,辣椒;蒜;酱油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
